1 --> {1=0.00572233711565794, 2=0.008847440297185784, 3=0.011168516158380793, 4=0.007027453613732049, 5=0.0055622535470871435, 6=0.004525608172153268, 7=0.005576614892629968, 8=0.002137428691571208, 9=0.007288670309439902, 10=0.011509224516420375, 11=0.008650472785995619, 12=0.0036370010469427105, 13=0.003912549412360842}
2 --> {1=0.0, 2=0.0019764975746582735, 3=0.001658747211785272, 4=0.00749292841479644, 5=0.001236924919717951, 6=0.01465442787442036, 7=0.0, 8=0.0, 9=0.021730834654205063, 10=0.017435547329991995, 11=0.0, 12=0.0, 13=0.0}
3 --> {1=0.006756308849182997, 2=0.011189077965016773, 3=0.01176668630624044, 4=0.004739641250492405, 5=0.003169101605973694, 6=0.0026505774875185827, 7=0.0062738873099431325, 8=6.509375141421459E-4, 9=0.010674885658717069, 10=0.006652498778859029, 11=0.004811984553545207, 12=0.0013319273930074104, 13=0.007943550485090494}
4 --> {1=0.004827538515898976, 2=0.007279016729619169, 3=0.005001115740868271, 4=0.0048468169090053045, 5=0.004487917761649763, 6=0.0027773534181468264, 7=0.004684177870664602, 8=6.75977928832846E-4, 9=0.008288038426435945, 10=0.011907809920301672, 11=0.0021437137358306896, 12=0.0017223562758864807, 13=0.003932901720233848}
5 --> {1=0.012130759936788653, 2=0.012744692587901703, 3=0.015469105572205585, 4=0.00861228526454669, 5=0.006092997012081287, 6=0.0064229851111855555, 7=0.011951355456550315, 8=0.005417525422753292, 9=0.011444383380011525, 10=0.015694013807555304, 11=0.003624183585566287, 12=0.002922828603501306, 13=0.0055115309114731675}
6 --> {1=0.003600563398556541, 2=0.006584181004366284, 3=0.0029583202489470123, 4=0.002793729599178609, 5=0.0019181647814137815, 6=0.0015037812729115781, 7=7.053519026637922E-4, 8=1.8077579030830525E-4, 9=0.002567212473695608, 10=0.002852118201952687, 11=0.0029087668748792664, 12=0.0019846950301813824, 13=2.753077636435416E-4}
7 --> {1=0.0050458486360209776, 2=0.009902338941771354, 3=0.00530706186089064, 4=0.007128633897817462, 5=0.004939018792683418, 6=0.002220026536367799, 7=0.003862603680786686, 8=0.0012168394507047313, 9=0.01238706606007509, 10=0.011088863074083114, 11=0.0065852785369743, 12=0.0036305872220441454, 13=0.004518302225980048}
8 --> {1=0.001761231069818103, 2=0.0018398514455872884, 3=0.0017729158670287133, 4=0.0038416083171041436, 5=0.0022802007558643768, 6=0.003250834037712794, 7=0.011274471519361248, 8=0.003081853353506714, 9=0.008924592382409838, 10=0.007985180599429537, 11=0.0024519738846902383, 12=8.468161310262705E-4, 13=6.413113355173739E-4}
9 --> {1=0.005571940617020788, 2=0.004203327077804826, 3=0.0029203672219484324, 4=0.0016135608720800828, 5=0.002842951244858608, 6=0.0016710413378199164, 7=0.003595582292072827, 8=0.0013048527282379769, 9=0.0037341388578905977, 10=0.006325966303589362, 11=0.0028554135382951582, 12=0.0020862113948441614, 13=0.00519854105602505}
10 --> {1=0.0072860489995056005, 2=0.006835060330314667, 3=0.0052279344972165215, 4=0.010897150922761329, 5=0.01413684250917596, 6=0.01000618363006389, 7=0.007405404299398048, 8=3.8716620991470756E-4, 9=0.009169690861914185, 10=0.017041421609275957, 11=0.003782901271814716, 12=0.012181601043537136, 13=0.0020554422483236054}
11 --> {1=0.007277336328307878, 2=0.011343336156853177, 3=0.010664122864303866, 4=0.009034066945904275, 5=0.009578685050767583, 6=0.0074229242686856284, 7=0.007499861049336739, 8=0.003069135621272184, 9=0.009252557544850203, 10=0.011591361251269664, 11=0.004102675696113893, 12=3.481326639702039E-4, 13=0.007809330523323802}
12 --> {1=0.0018313009743198608, 2=0.006868035716353662, 3=0.021821591125997245, 4=0.018453951072828007, 5=0.01665241981828401, 6=0.005190506786011659, 7=0.012746653523731279, 8=0.0, 9=0.017852154353497903, 10=0.03636901713745505, 11=0.007314407411190192, 12=4.5805152593223007E-4, 13=0.004050822216444597}
13 --> {1=0.007456522113920276, 2=0.00955648008504822, 3=0.00624066853416789, 4=0.009949616635930907, 5=0.013637902158061536, 6=0.007004234758504213, 7=0.005643226240708377, 8=0.0033995400404798573, 9=0.010230754694206205, 10=0.015155013700793035, 11=9.365773690738597E-4, 12=0.0, 13=0.010490579390395714}
14 --> {1=0.0, 2=0.007905990298633094, 3=0.006634988847141088, 4=0.03990566259919487, 5=0.0014808413913086826, 6=0.0037935574647617386, 7=0.006299917873115124, 8=0.0, 9=0.04640395585101955, 10=0.012791658036115294, 11=0.018845506133164366, 12=0.0, 13=0.0}
15 --> {1=0.0015605080143136743, 2=0.010766014957106957, 3=0.0024225849874928078, 4=0.004903243239890612, 5=0.001084231527289432, 6=0.0015782348702098805, 7=0.0029871980440869176, 8=0.004925198414372507, 9=0.007697380166346804, 10=0.0019316426923516772, 11=0.007976824838607628, 12=9.073607094519435E-4, 13=0.00914053129142475}
16 --> {1=0.012839709520288662, 2=0.014208138870592715, 3=0.011925148999876784, 4=0.006571052195445255, 5=0.0038688345500959617, 6=0.0026747187764323836, 7=0.007582112548795066, 8=0.0011879551934545773, 9=0.01358896537892609, 10=0.016511048996940874, 11=0.008193344963547731, 12=0.008882486108589436, 13=0.002296443539864603}
17 --> {1=0.001142512684905324, 2=0.006743438164497694, 3=0.006368681830704862, 4=0.009865287396038569, 5=0.00781231515043524, 6=0.002984150218021743, 7=0.01226533797628212, 8=0.0048849574763210925, 9=0.010898859421786231, 10=0.020505841274325313, 11=0.003557428807955869, 12=0.0, 13=0.0019830850507399495}
18 --> {1=6.620980117518665E-4, 2=0.0023104686943600196, 3=0.006713489264384227, 4=0.012643708695231503, 5=0.014546835567309712, 6=0.008784736099646416, 7=0.005352544912065296, 8=0.0, 9=0.010272995296022509, 10=0.015411729380205758, 11=0.002483898670136966, 12=2.0082522879665544E-4, 13=0.0012556130895398563}
19 --> {1=0.01170751834582526, 2=0.01751178987597317, 3=0.022259312617485462, 4=0.005519211347981238, 5=0.002229900630239702, 6=0.006816525981239866, 7=0.017488014120697216, 8=0.005063093539889231, 9=0.016048749672370046, 10=0.026689023019948438, 11=0.011965779768052971, 12=0.009893055421159215, 13=0.003112040518507899}
20 --> {1=0.01290433843499514, 2=0.00974481857796883, 3=0.008178199079426558, 4=0.003361234312948507, 5=0.005712587772072574, 6=0.0012543153877257998, 7=0.004007267816827541, 8=9.701634079879049E-4, 9=0.004350711977003235, 10=0.01415879684795224, 11=0.005415060289693802, 12=0.006926015781646835, 13=0.0020241814994646995}
