2 --> {1=219, 2=223, 3=223, 4=223, 5=223, 6=219, 7=223, 8=223, 9=223, 10=223, 11=223, 12=223, 13=223}
5 --> {1=774, 2=733, 3=712, 4=746, 5=746, 6=746, 7=730, 8=720, 9=711, 10=711, 11=728, 12=733, 13=712}
6 --> {1=966, 2=966, 3=933, 4=965, 5=965, 6=965, 7=1040, 8=957, 9=940, 10=940, 11=974, 12=966, 13=966}
7 --> {1=1126, 2=1126, 3=1172, 4=1094, 5=1094, 6=1094, 7=1135, 8=1100, 9=1150, 10=1150, 11=1122, 12=1174, 13=1120}
8 --> {1=1259, 2=1221, 3=1274, 4=1285, 5=1285, 6=1285, 7=1215, 8=1287, 9=1265, 10=1265, 11=1225, 12=1220, 13=1221}
9 --> {1=1327, 2=1327, 3=1307, 4=1321, 5=1321, 6=1321, 7=1402, 8=1308, 9=1402, 10=1402, 11=1316, 12=1327, 13=1327}
10 --> {1=1561, 2=1559, 3=1530, 4=1532, 5=1532, 6=1520, 7=1546, 8=1571, 9=1524, 10=1524, 11=1545, 12=1541, 13=1623}
12 --> {1=1843, 2=1843, 3=1859, 4=1835, 5=1835, 6=1835, 7=1837, 8=1837, 9=1848, 10=1848, 11=1850, 12=1843, 13=1854}
13 --> {1=1882, 2=1872, 3=1876, 4=1884, 5=1884, 6=1884, 7=1880, 8=1880, 9=1883, 10=1883, 11=1889, 12=1872, 13=1876}
15 --> {1=1919, 2=1926, 3=1931, 4=1935, 5=1935, 6=1935, 7=1940, 8=1949, 9=1946, 10=1946, 11=1931, 12=1926, 13=1927}
16 --> {1=2003, 2=1972, 3=1972, 4=1965, 5=1965, 6=1965, 7=2005, 8=1976, 9=1963, 10=1963, 11=1979, 12=1968, 13=2007}
17 --> {1=2011, 2=2011, 3=2011, 4=2043, 5=2043, 6=2043, 7=2010, 8=2044, 9=2029, 10=2029, 11=2011, 12=2031, 13=2020}
18 --> {1=2084, 2=2077, 3=2055, 4=2064, 5=2064, 6=2064, 7=2069, 8=2070, 9=2057, 10=2057, 11=2055, 12=2077, 13=2077}
19 --> {1=2115, 2=2115, 3=2110, 4=2113, 5=2107, 6=2107, 7=2109, 8=2116, 9=2113, 10=2113, 11=2110, 12=2141, 13=2104}
20 --> {1=2150, 2=2152, 3=2152, 4=2153, 5=2156, 6=2156, 7=2153, 8=2148, 9=2153, 10=2153, 11=2152, 12=2156, 13=2152}
21 --> {1=2173, 2=2173, 3=2195, 4=2169, 5=2187, 6=2187, 7=2169, 8=2191, 9=2169, 10=2169, 11=2195, 12=2173, 13=2173}
22 --> {1=2213, 2=2208, 3=2198, 4=2209, 5=2203, 6=2209, 7=2208, 8=2208, 9=2203, 10=2203, 11=2208, 12=2205, 13=2207}
24 --> {1=2271, 2=2274, 3=2301, 4=2281, 5=2281, 6=2281, 7=2291, 8=2273, 9=2287, 10=2287, 11=2305, 12=2274, 13=2299}
25 --> {1=2331, 2=2331, 3=2331, 4=2331, 5=2331, 6=2331, 7=2331, 8=2331, 9=2331, 10=2331, 11=2331, 12=2331, 13=2331}
26 --> {1=2338, 2=2343, 3=2343, 4=2332, 5=2332, 6=2332, 7=2339, 8=2339, 9=2332, 10=2339, 11=2343, 12=2343, 13=2343}
27 --> {1=2348, 2=2348, 3=2345, 4=2344, 5=2344, 6=2344, 7=2345, 8=2664, 9=2344, 10=2344, 11=2345, 12=2348, 13=2348}
30 --> {1=2487, 2=2487, 3=2488, 4=2464, 5=2464, 6=2464, 7=2475, 8=2514, 9=2463, 10=2463, 11=2470, 12=2761, 13=2465}
31 --> {1=2589, 2=2537, 3=2541, 4=2516, 5=2516, 6=2516, 7=2542, 8=2542, 9=2520, 10=2520, 11=2860, 12=2537, 13=2846}
34 --> {1=2924, 2=2924, 3=2923, 4=2920, 5=2920, 6=2920, 7=2950, 8=2917, 9=2914, 10=2914, 11=2934, 12=2924, 13=2967}
36 --> {1=3072, 2=3068, 3=3065, 4=3094, 5=3094, 6=3094, 7=3099, 8=3083, 9=3066, 10=3066, 11=3158, 12=3107, 13=3148}
37 --> {1=3307, 2=3216, 3=3342, 4=3219, 5=3219, 6=3219, 7=3239, 8=3262, 9=3236, 10=3236, 11=3318, 12=3216, 13=3259}
38 --> {1=3364, 2=3358, 3=3358, 4=3363, 5=3363, 6=3363, 7=3358, 8=3363, 9=3358, 10=3358, 11=3363, 12=3366, 13=3363}
39 --> {1=3374, 2=3374, 3=3380, 4=3488, 5=3488, 6=3488, 7=3372, 8=3399, 9=3372, 10=3372, 11=3404, 12=3374, 13=3374}
40 --> {1=3577, 2=3577, 3=3617, 4=3598, 5=3598, 6=3598, 7=3574, 8=3609, 9=3583, 10=3583, 11=3578, 12=3577, 13=3580}
41 --> {1=3664, 2=3664, 3=3664, 4=3673, 5=3673, 6=3673, 7=3664, 8=3664, 9=3664, 10=3673, 11=3664, 12=3673, 13=3664}
42 --> {1=3674, 2=3674, 3=3674, 4=3674, 5=3674, 6=3674, 7=3674, 8=3674, 9=3674, 10=3674, 11=3674, 12=3674, 13=3674}
43 --> {1=3690, 2=3690, 3=3697, 4=3678, 5=3678, 6=3678, 7=3684, 8=3693, 9=3686, 10=3686, 11=3689, 12=3776, 13=3722}
44 --> {1=3995, 2=3955, 3=3851, 4=3850, 5=3850, 6=3850, 7=3947, 8=3858, 9=3852, 10=3852, 11=3856, 12=3955, 13=3881}
45 --> {1=4117, 2=4039, 3=4049, 4=4038, 5=4038, 6=4038, 7=4059, 8=4062, 9=4046, 10=4046, 11=4067, 12=4039, 13=4049}
46 --> {1=4199, 2=4199, 3=4199, 4=4204, 5=4199, 6=4202, 7=4205, 8=4199, 9=4205, 10=4205, 11=4199, 12=4206, 13=4199}
47 --> {1=4221, 2=4221, 3=4208, 4=4224, 5=4215, 6=4215, 7=4234, 8=4213, 9=4224, 10=4224, 11=4208, 12=4221, 13=4220}
48 --> {1=4268, 2=4249, 3=4260, 4=4243, 5=4243, 6=4243, 7=4247, 8=4261, 9=4248, 10=4248, 11=4242, 12=4249, 13=4269}
49 --> {1=4290, 2=4290, 3=4289, 4=4313, 5=4313, 6=4313, 7=4300, 8=4309, 9=4291, 10=4291, 11=4304, 12=4290, 13=4289}
50 --> {1=4353, 2=4353, 3=4353, 4=4350, 5=4350, 6=4350, 7=4359, 8=4369, 9=4338, 10=4338, 11=4353, 12=4353, 13=4342}
51 --> {1=4398, 2=4398, 3=4398, 4=4410, 5=4410, 6=4410, 7=4383, 8=4394, 9=4390, 10=4390, 11=4403, 12=4379, 13=4398}
