1 --> {1=71, 2=77, 3=5, 4=52, 5=52, 6=52, 7=6, 8=182, 9=36, 10=36, 11=18, 12=50, 13=33}
3 --> {1=233, 2=233, 3=226, 4=239, 5=239, 6=239, 7=267, 8=330, 9=272, 10=272, 11=282, 12=233, 13=378}
4 --> {1=688, 2=434, 3=594, 4=508, 5=508, 6=508, 7=422, 8=473, 9=420, 10=420, 11=492, 12=434, 13=557}
11 --> {1=1760, 2=1682, 3=1678, 4=1674, 5=1674, 6=1752, 7=1724, 8=1748, 9=1693, 10=1693, 11=1673, 12=1747, 13=1788}
14 --> {1=1917, 2=1917, 3=1917, 4=1917, 5=1917, 6=1917, 7=1917, 8=1917, 9=1917, 10=1917, 11=1917, 12=1917, 13=1917}
23 --> {1=2216, 2=2216, 3=2217, 4=2233, 5=2233, 6=2233, 7=2230, 8=2215, 9=2222, 10=2222, 11=2217, 12=2216, 13=2231}
28 --> {1=2357, 2=2357, 3=2356, 4=2363, 5=2363, 6=2363, 7=2376, 8=2362, 9=2369, 10=2369, 11=2366, 12=2357, 13=2704}
29 --> {1=2750, 2=2406, 3=2402, 4=2421, 5=2421, 6=2421, 7=2405, 8=2411, 9=2420, 10=2420, 11=2422, 12=2406, 13=2406}
32 --> {1=2591, 2=2591, 3=2599, 4=2899, 5=2873, 6=2885, 7=2598, 8=2874, 9=2598, 10=2598, 11=2599, 12=2591, 13=2870}
33 --> {1=2900, 2=2900, 3=2900, 4=2900, 5=2900, 6=2900, 7=2900, 8=2900, 9=2900, 10=2900, 11=2900, 12=2900, 13=2900}
35 --> {1=2991, 2=2991, 3=2982, 4=3045, 5=3045, 6=3045, 7=2979, 8=3028, 9=2976, 10=2976, 11=3049, 12=2991, 13=3006}
53 --> {1=4449, 2=4449, 3=4456, 4=4464, 5=4464, 6=4464, 7=4448, 8=4451, 9=4448, 10=4448, 11=4467, 12=4452, 13=4447}
82 --> {1=5560, 2=5557, 3=5530, 4=5544, 5=5544, 6=5544, 7=5548, 8=5563, 9=5536, 10=5536, 11=5530, 12=5557, 13=5557}
91 --> {1=5988, 2=5988, 3=5988, 4=5986, 5=5986, 6=5996, 7=5982, 8=6003, 9=5986, 10=5986, 11=5988, 12=5988, 13=5985}
94 --> {1=6105, 2=6090, 3=6099, 4=6094, 5=6094, 6=6104, 7=6094, 8=6113, 9=6094, 10=6094, 11=6099, 12=6090, 13=6090}
95 --> {1=6144, 2=6144, 3=6144, 4=6124, 5=6127, 6=6127, 7=6127, 8=6141, 9=6127, 10=6127, 11=6144, 12=6144, 13=6144}
96 --> {1=6155, 2=6155, 3=6155, 4=6148, 5=6148, 6=6148, 7=6163, 8=6164, 9=6146, 10=6146, 11=6183, 12=6174, 13=6158}
102 --> {1=6398, 2=6398, 3=6385, 4=6397, 5=6397, 6=6397, 7=6400, 8=6400, 9=6409, 10=6409, 11=6385, 12=6386, 13=6398}
